capital,num_workers,productivity,price,inventory,budget,mean_historic_sales,std_historic_sales,avg_wage,avg_capital_price,avg_consumption_good_price,market_demand,actual_demand,sales,firm_id
20.0,1.0,1.0201505006249996,0.01490512538247475,11.838138599697068,-30.15123689408493,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30
20.0,1.0,1.0201505006249996,0.014159869113351011,11.844251650057247,-30.187516571776225,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30
20.0,1.0,1.0201505006249996,0.01345187565768346,11.849203220848992,-30.22199832246165,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30
20.0,1.0,1.0201505006249996,0.012779281874799287,11.853213993190305,-30.254768341380966,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30
20.0,1.0,1.0201505006249996,0.012140317781059323,11.856462718786767,-30.285909367117913,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30
20.0,1.0,1.0201505006249996,0.011533301892006355,11.859094186519904,-30.3155006577921,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30
20.0,1.0,1.0201505006249996,0.010956636797406038,11.861225675383743,-30.343618013767014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30
20.0,1.0,1.0201505006249996,0.010408804957535735,11.862952181363452,-30.37033383410078,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30
20.0,1.0,1.0201505006249996,0.009888364709658948,11.864350651207017,-30.395717197013134,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30
20.0,1.0,1.0201505006249996,0.009393946474176,11.865483411780305,-30.41983395698143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30
20.0,1.0,1.0201505006249996,0.0089242491504672,11.866400947844669,-30.442746852873913,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30
20.0,1.0,1.0201505006249996,0.008478036692943839,11.867144152056804,-30.464515622905214,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30
20.0,1.0,1.0201505006249996,0.008054134858296647,11.867746147468633,-30.485197123254235,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30
20.0,1.0,1.0201505006249996,0.0076514281153818135,11.868233763752215,-30.504845447992242,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30
20.0,1.0,1.0201505006249996,0.0072688567096127225,11.868628732941914,-30.523512048586603,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30
20.0,1.0,1.0252512531281244,0.006905413874132086,11.868948657985571,-32.54124585171701,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30
20.0,1.0,1.0252512531281244,0.006560143180425482,11.880484594192446,-32.55810159421162,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30
20.0,1.0,1.0252512531281244,0.0062321360214042075,11.889828702520015,-32.57412858773795,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30
20.0,1.0,1.0252512531281244,0.005920529220333997,11.897397430265347,-32.58936503394935,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30
20.0,1.0,1.0,0.95,3.24,18.258000000000003,4.166666666666667,1.863389981249825,1.0,0.0,0.9499999999999996,0.0,0.0,0.0,31
20.0,1.0,1.0,0.9025,4.835210447008422,17.4653358412861,3.5714285714285716,2.2587697572631282,0.0,0.0,0.0,0.0,0.0,0.0,31
20.0,1.0,1.0,0.8573749999999999,6.127330909085243,16.44524472753504,3.125,2.4206145913796355,0.0,0.0,0.0,0.0,0.0,0.0,31
20.0,1.0,1.0,0.8145062499999999,7.17394848336747,15.27065537406392,2.7777777777777777,2.4845199749997664,0.0,0.0,0.0,0.0,0.0,0.0,31
20.0,1.0,1.0,0.7737809374999999,8.021708718536072,13.996661087200197,2.5,2.5,0.0,0.0,0.0,0.0,0.0,0.0,31
20.0,1.0,1.0,0.7350918906249998,8.708394509022641,12.66468209305925,2.0,2.449489742783178,0.0,0.0,0.0,0.0,0.0,0.0,31
20.0,1.0,1.0,0.6983372960937497,9.264609999316763,11.305665886188446,1.5,2.29128784747792,0.0,0.0,0.0,0.0,0.0,0.0,31
20.0,1.0,1.0,0.6634204312890623,9.715144546455,9.942547462665987,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,31
